"gid","osm_id","class_id","source","target","length","reverse","maxspeed_forward","maxspeed_backward","priority","geom"
"15372","892989280","104","403118301","9901576581","318.3246629761129","-1",,,"1.1","LINESTRING(126.5856035 45.7436358, 126.5850677 45.7429637, 126.5846535 45.7424442, 126.5846166 45.7423907, 126.584286 45.7418666)"
"15373","892989281","104","8299534914","403115591","677.6517597220338","-1",,,"1.1","LINESTRING(126.6035316 45.7333265, 126.6006974 45.7343888, 126.5981857 45.7353587)"
"15374","892989281","104","403115591","403115590","1366.074572322839","-1",,,"1.1","LINESTRING(126.5981857 45.7353587, 126.587453 45.7395115)"
"15375","892989281","104","403115590","403117263","521.3317430371312","-1",,,"1.1","LINESTRING(126.587453 45.7395115, 126.5856131 45.7402033, 126.5854592 45.7402693, 126.5853085 45.7403384, 126.5851547 45.7404215, 126.584936 45.7405776, 126.5847929 45.7406769, 126.5846792 45.7408035, 126.5846085 45.7408838, 126.5845555 45.7409798, 126.5844964 45.7410972, 126.5844513 45.7412201, 126.58443 45.741331, 126.5844183 45.7414245, 126.5844127 45.7415309, 126.5844283 45.7416835)"
"15376","892989282","106","412479542","412479544","191.73602455504283","-1",,,"1.2","LINESTRING(126.5759926 45.7408817, 126.5776837 45.7411098)"
"15377","892989282","106","412479544","412479549","612.2858364158577","-1",,,"1.2","LINESTRING(126.5776837 45.7411098, 126.5782959 45.7411601, 126.5793739 45.7412563, 126.5802897 45.7412798, 126.5809862 45.7412399, 126.582102 45.7411184, 126.5831206 45.7409335)"
"15378","892989283","108","403359260","6312677288","142.52312667468934","-1",,,"1.4","LINESTRING(126.5832517 45.7408884, 126.582327 45.7402704)"
"15379","892989283","108","6312677288","6312677292","202.86144450285695","-1",,,"1.4","LINESTRING(126.582327 45.7402704, 126.5809626 45.7394273)"
"15380","892989283","108","6312677292","6312677303","206.9285072028786","-1",,,"1.4","LINESTRING(126.5809626 45.7394273, 126.5795852 45.7385561)"
"15381","892989283","108","6312677303","6312677287","211.9319119729222","-1",,,"1.4","LINESTRING(126.5795852 45.7385561, 126.5781846 45.7376561)"
"15382","892989284","104","403359260","4361619949","32.03167116002808","-1",,,"1.1","LINESTRING(126.5832517 45.7408884, 126.5835143 45.7408063)"
"15383","892989285","108","6312677281","6312677304","214.6856800263517","-1",,,"1.4","LINESTRING(126.5783769 45.7374926, 126.5798094 45.7383938)"
